area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
86070.64651619723,150579.18066204994,0.5715972562592737,0,1,0.7626139177105777,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86079.33401025223,150579.18066204994,0.5716549501185231,0,0,-1.641307695434294,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86162.20179799508,150579.18066204994,0.5722052771117934,0,0,-0.7499651140030261,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85562.59236290737,150579.18066204994,0.5682232562743083,0,0,-14.76363660912293,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85863.11299766075,150579.18066204994,0.5702190211166462,0,0,-1.8558278134756585,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86249.07547893717,150579.18066204994,0.5727822073392002,0,1,0.48021542508218523,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85883.72959531033,150579.18066204994,0.5703559364429147,0,1,0.6197160298512732,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86099.75494807884,150579.18066204994,0.5717905660631498,0,1,0.16452979372408993,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85730.02470178262,150579.18066204994,0.5693351785077744,0,1,2.5729096602614554,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85736.19567307888,150579.18066204994,0.5693761600781956,0,1,4.725347058729259,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85421.76832112922,150579.18066204994,0.5672880403888254,0,1,1.2327879642485147,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85833.44084608178,150579.18066204994,0.5700219676365536,0,1,0.5223013578674496,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86220.06467392936,150579.18066204994,0.5725895458777667,0,1,0.7019310690887535,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86234.65523850312,150579.18066204994,0.57268644217186,0,1,0.31219451648308993,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86300.27065628757,150579.18066204994,0.5731221957567577,0,1,1.01168109535183,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86179.657509054,150579.18066204994,0.5723212009133586,0,1,0.6867955675222026,1,lambda_i,Beverton-Holt,Beverton-Holt,open
