label,Nv,Nt,Nv.1,Nt.1,totalother,focal,Original.Env,Exp.Env,replicate,Veroseeds.planted,TRCYseeds.planted,number.of.seeds
1,M,H,15,11,14,V,open,open,1,30,60,6
2,0,L,0,2,4,T,woody,open,1,0,15,67
3,I,H,1,8,6,V,open,open,1,5,60,0
4,M,M,15,5,4,V,woody,open,1,30,30,3
5,0,M,0,6,7,T,open,open,1,0,30,4
6,I,M,1,5,3,V,open,open,1,5,30,22
7,0,H,0,18,4,T,woody,open,1,0,60,16
8,M,I,15,1,10,T,open,open,1,30,5,22
9,H,M,42,5,9,T,open,open,1,60,30,13
10,M,H,15,19,3,V,woody,open,1,30,60,0
11,M,I,15,1,2,T,woody,open,1,30,5,7
12,0,I,0,1,2,T,woody,open,1,0,5,20
13,I,M,1,3,13,V,woody,open,1,5,30,14
14,I,0,1,0,10,V,open,open,1,5,0,3
15,M,0,16,0,4,V,woody,open,1,30,0,11
16,I,H,1,19,1,V,woody,open,1,5,60,0
17,M,M,16,6,5,T,open,open,1,30,30,8
18,0,H,0,20,4,T,open,open,1,0,60,16
19,M,M,16,9,1,V,open,open,1,30,30,3
20,H,0,37,0,0,V,woody,open,1,60,0,0
21,L,0,6,0,14,V,open,open,1,15,0,0
22,M,M,15,9,1,T,woody,open,1,30,30,4
23,L,0,6,0,1,V,woody,open,1,15,0,16
24,0,M,0,9,9,T,woody,open,1,0,30,4
25,H,I,0,1,0,T,woody,open,1,60,5,4
26,M,0,12,0,4,V,open,open,1,30,0,10
27,0,I,0,1,6,T,open,open,1,0,5,77
28,H,0,30,0,8,V,open,open,1,60,0,8
29,H,M,51,9,7,T,woody,open,1,60,30,6
30,0,L,0,4,1,T,open,open,1,0,15,100
31,H,I,31,1,1,T,open,open,1,60,5,15
32,I,0,1,0,3,V,woody,open,1,5,0,10
33,H,M,105,8,10,T,woody,woody,2,60,30,0
34,I,M,1,13,12,V,open,woody,2,5,30,0
35,M,M,16,9,11,T,open,woody,2,30,30,21
36,M,I,15,1,13,T,open,woody,2,30,5,14
37,0,I,0,1,8,T,open,woody,2,0,5,32
38,I,H,1,25,7,V,woody,woody,2,5,60,0
39,M,M,12,8,5,T,woody,woody,2,30,30,21
40,M,I,16,1,9,T,woody,woody,2,30,5,24
41,M,H,14,17,3,V,open,woody,2,30,60,3
42,H,0,10,0,3,V,open,woody,2,60,0,3
43,L,0,6,0,6,V,woody,woody,2,15,0,8
44,L,0,6,0,12,V,open,woody,2,15,0,7
45,0,I,0,1,9,T,woody,woody,2,0,5,32
46,H,0,35,0,14,V,woody,woody,2,60,0,0
47,I,M,1,8,8,V,woody,woody,2,5,30,4
48,0,L,0,4,8,T,open,woody,2,0,15,24
49,0,M,0,9,8,T,open,woody,2,0,30,13
50,0,L,0,4,7,T,woody,woody,2,0,15,26
51,M,M,15,9,7,V,open,woody,2,30,30,5
52,M,0,15,0,5,V,woody,woody,2,30,0,5
53,H,M,45,8,4,T,open,woody,2,60,30,5
54,M,H,16,27,6,V,woody,woody,2,30,60,2
55,M,0,14,0,9,V,open,woody,2,30,0,37
56,I,0,1,0,2,V,woody,woody,2,5,0,5
57,0,M,0,8,4,T,woody,woody,2,0,30,12
58,0,H,0,22,1,T,woody,woody,2,0,60,1
59,I,H,1,23,1,V,open,woody,2,5,60,0
60,H,I,37,1,3,T,open,woody,2,60,5,97
61,I,0,1,0,1,V,open,woody,2,5,0,13
62,0,H,0,23,2,T,open,woody,2,0,60,13
63,H,I,66,1,0,T,woody,woody,2,60,5,2
64,M,M,15,7,1,V,woody,woody,2,30,30,4
65,M,I,0,0,0,T,open,woody,1,30,5,NA
66,I,M,1,7,9,V,woody,woody,1,5,30,10
67,L,0,6,0,15,V,open,woody,1,15,0,8
68,H,M,17,9,2,T,woody,woody,1,60,30,48
69,0,M,0,9,22,T,woody,woody,1,0,30,23
70,I,H,1,21,21,V,open,woody,1,5,60,12
71,H,I,20,1,10,T,woody,woody,1,60,5,37
72,0,M,0,9,5,T,open,woody,1,0,30,18
73,I,0,1,0,9,V,open,woody,1,5,0,1
74,H,0,44,0,4,V,woody,woody,1,60,0,5
75,M,M,15,8,2,V,open,woody,1,30,30,7
76,H,I,47,1,7,T,open,woody,1,60,5,18
77,0,H,0,15,3,T,woody,woody,1,0,60,8
78,M,I,14,1,0,T,woody,woody,1,30,5,8
79,M,M,15,9,0,T,open,woody,1,30,30,9
80,0,L,0,4,3,T,open,woody,1,0,15,25
81,H,0,35,0,3,V,open,woody,1,60,0,5
82,I,0,1,0,9,V,woody,woody,1,5,0,6
83,M,H,15,13,2,V,open,woody,1,30,60,1
