label,Vtrt,Ptrt,Vn,Pn,total.other,Original.Env,Exp.Env,replicate,VEROseeds,PLDEseeds,Focal,Seeds.total
1,M,I,7,1,14,shade,shade,1,30,5,P,21
2,x,L,0,8,12,open,shade,1,0,15,P,22
3,M,x,4,0,7,open,shade,1,30,0,V,0
4,H,M,0,26,15,open,shade,1,60,30,P,8
5,x,L,0,20,38,shade,shade,1,0,15,P,8
6,M,M,7,31,32,shade,shade,1,30,30,V,3
7,x,I,0,1,18,open,shade,1,0,5,P,36
8,I,M,0,1,19,shade,shade,1,5,30,P,97
9,H,x,9,0,12,open,shade,1,60,0,V,15
10,I,M,1,15,23,open,shade,1,5,30,V,19
11,M,H,7,27,15,shade,shade,1,30,60,V,7
12,I,H,0,35,17,open,shade,1,5,60,P,17
13,H,x,13,0,26,shade,shade,1,60,0,V,2
14,M,I,6,1,12,open,shade,1,30,5,P,20
15,x,M,0,15,10,open,shade,1,0,30,P,46
16,M,H,11,11,11,open,shade,1,30,60,V,2
17,M,M,6,10,10,open,shade,1,30,30,V,8
18,x,M,0,5,14,shade,shade,1,0,30,P,49
19,L,x,0,1,29,shade,shade,1,15,0,P,13
20,x,H,0,43,29,shade,shade,1,0,60,P,15
21,M,M,6,14,20,shade,shade,1,30,30,P,14
22,M,x,2,0,11,shade,shade,1,30,0,V,25
23,x,H,0,27,18,open,shade,1,0,60,P,19
24,H,I,9,1,4,shade,shade,1,60,5,P,124
25,H,I,14,1,16,open,shade,1,60,5,P,17
26,H,M,6,6,13,shade,shade,1,60,30,P,18
27,I,x,1,0,3,shade,shade,1,5,0,V,3
28,I,x,1,0,33,open,shade,1,5,0,V,8
29,I,H,1,24,17,shade,shade,1,5,60,V,5
30,M,M,1,22,26,open,shade,1,30,30,V,2
31,x,I,0,1,43,shade,shade,1,0,5,P,25
32,L,x,3,0,15,open,shade,1,15,0,V,8
33,H,M,13,20,15,open,shade,2,60,30,P,17
34,x,M,0,17,25,open,shade,2,0,30,P,23
35,x,I,0,1,25,open,shade,2,0,5,P,2
36,x,H,0,22,19,shade,shade,2,0,60,P,6
37,I,H,1,18,32,shade,shade,2,5,60,V,5
38,x,L,0,17,7,open,shade,2,0,15,V,9
39,M,M,2,10,4,shade,shade,2,30,30,V,3
40,x,H,0,4,13,open,shade,2,0,60,P,85
