species,plot,species.plot,light/ dark,date plated ,plate #,# seeds,date plated ,notes,week 1,week 2,week 3,week 4,week 5,cotyledons only,emerged-inviable,nongerminant-filled,nongerminant-unfilled,fungus-looked filled,fungus - looked unfilled,date of final count,cut_test_performed
Trachymene cyanopetala,3,Trachymene cyanopetala 3,light,30/05/2019,2,25,30/05/2019,,2,11,13,13,13,1,0,NA,NA,NA,NA,6/07/2019,n
Trachymene cyanopetala,18,Trachymene cyanopetala 18,light,30/05/2019,19,25,30/05/2019,,0,11,13,14,19,1,0,5,0,0,0,5/07/2019,y
Trachymene cyanopetala,6,Trachymene cyanopetala 6,light,30/05/2019,22,25,30/05/2019,,2,13,13,16,16,0,0,9,0,0,0,5/07/2019,y
Trachymene cyanopetala,16,Trachymene cyanopetala 16,light,30/05/2019,34,25,30/05/2019,,0,17,17,18,18,0,0,7,0,0,0,5/07/2019,y
Trachymene cyanopetala,13,Trachymene cyanopetala 13,light,30/05/2019,35,25,30/05/2019,,0,4,4,4,4,0,0,20,1,0,0,5/07/2019,y
Trachymene cyanopetala,2,Trachymene cyanopetala 2,light,30/05/2019,41,25,30/05/2019,,0,4,6,10,10,0,0,NA,NA,NA,NA,5/07/2019,n
Trachymene cyanopetala,9,Trachymene cyanopetala 9,light,30/05/2019,94,25,30/05/2019,,1,10,12,12,12,1,0,9,3,0,2,5/07/2019,y
Trachymene cyanopetala,14,Trachymene cyanopetala 14,light,30/05/2019,95,25,30/05/2019,,1,3,6,7,8,0,0,NA,NA,NA,NA,5/07/2019,n
Trachymene cyanopetala,12,Trachymene cyanopetala 12,light,30/05/2019,101,25,30/05/2019,,7,11,13,13,14,0,0,NA,NA,NA,NA,5/07/2019,n
Trachymene cyanopetala,5,Trachymene cyanopetala 5,light,30/05/2019,103,26,30/05/2019,,0,2,4,7,7,0,0,18,1,0,1,5/07/2019,y
